packet_id,phase,mid,delivered,latency_ms,mode
1,NORMAL,1,1,0.0,LIVE
2,NORMAL,2,1,0.0,LIVE
3,NORMAL,3,1,0.52,LIVE
4,NORMAL,4,1,0.0,LIVE
5,NORMAL,5,1,0.52,LIVE
6,NORMAL,6,1,0.0,LIVE
7,NORMAL,7,1,0.74,LIVE
8,NORMAL,8,1,0.0,LIVE
9,NORMAL,9,1,0.0,LIVE
10,NORMAL,10,1,0.0,LIVE
11,NORMAL,11,1,0.0,LIVE
12,NORMAL,12,1,0.0,LIVE
13,NORMAL,13,1,0.0,LIVE
14,NORMAL,14,1,0.54,LIVE
15,NORMAL,15,1,0.52,LIVE
16,NORMAL,16,1,0.0,LIVE
17,NORMAL,17,1,0.0,LIVE
18,NORMAL,18,1,0.54,LIVE
19,NORMAL,19,1,0.0,LIVE
20,NORMAL,20,1,0.52,LIVE
21,NORMAL,21,1,0.0,LIVE
22,NORMAL,22,1,0.0,LIVE
23,NORMAL,23,1,0.0,LIVE
24,NORMAL,24,1,0.0,LIVE
25,OUTAGE,25,1,5636.11,LIVE
26,OUTAGE,26,1,5335.53,LIVE
27,OUTAGE,27,1,5034.55,LIVE
28,OUTAGE,28,1,4733.66,LIVE
29,OUTAGE,29,1,4433.18,LIVE
30,OUTAGE,30,1,4132.28,LIVE
31,OUTAGE,31,1,3831.54,LIVE
32,OUTAGE,32,1,3530.58,LIVE
33,OUTAGE,33,1,3229.95,LIVE
34,OUTAGE,34,1,2929.29,LIVE
35,OUTAGE,35,1,2628.3,LIVE
36,OUTAGE,36,1,2327.72,LIVE
37,RECOVERY,37,1,0.0,LIVE
38,RECOVERY,38,1,0.51,LIVE
39,RECOVERY,39,1,0.0,LIVE
40,RECOVERY,40,1,0.0,LIVE
41,RECOVERY,41,1,0.52,LIVE
42,RECOVERY,42,1,0.0,LIVE
43,RECOVERY,43,1,0.53,LIVE
44,RECOVERY,44,1,0.52,LIVE
45,RECOVERY,45,1,0.0,LIVE
46,RECOVERY,46,1,0.55,LIVE
47,RECOVERY,47,1,0.0,LIVE
48,RECOVERY,48,1,0.0,LIVE
